Song Name,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
000002.mp3,"""rgb(220, 150, 30)""","""rgb(180, 120, 40)""","""rgb(200, 160, 50)""","""rgb(210, 140, 35)""","""rgb(190, 130, 45)"""
000005.mp3,"""rgb(230, 165, 40)""","""rgb(210, 150, 30)""","""rgb(120, 80, 20)""","""rgb(180, 110, 30)""","""rgb(240, 120, 40)"""
000010.mp3,"""rgb(220, 60, 30)""","""rgb(40, 40, 40)""","""rgb(140, 100, 60)""","""rgb(200, 80, 40)""","""rgb(230, 130, 60)"""
000140.mp3,"""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)""","""rgb(10, 150, 150)"""
000141.mp3,"""rgb(120, 180, 60)""","""rgb(60, 100, 120)""","""rgb(150, 100, 100)""","""rgb(80, 60, 100)""","""rgb(140, 160, 120)"""
000148.mp3,"""rgb(255, 30, 30)""","""rgb(255, 150, 30)""","""rgb(255, 30, 150)""","""rgb(30, 30, 255)""","""rgb(255, 30, 30)"""
000182.mp3,"""rgb(255, 100, 0)""","""rgb(255, 150, 0)""","""rgb(255, 100, 0)""","""rgb(255, 150, 0)""","""rgb(255, 150, 0)"""
000190.mp3,"""rgb(10, 15, 10)""","""rgb(180, 200, 160)""","""rgb(80, 120, 100)""","""rgb(200, 180, 80)""","""rgb(150, 190, 120)"""
000193.mp3,"""rgb(100, 20, 30)""","""rgb(120, 60, 40)""","""rgb(80, 40, 60)""","""rgb(140, 80, 20)""","""rgb(160, 100, 50)"""
000194.mp3,"""rgb(100, 150, 120)""","""rgb(120, 140, 110)""","""rgb(130, 145, 105)""","""rgb(110, 135, 95)""","""rgb(125, 140, 90)"""
000197.mp3,"""rgb(10, 20, 60)""","""rgb(15, 25, 65)""","""rgb(20, 30, 70)""","""rgb(25, 35, 75)""","""rgb(30, 40, 80)"""
000200.mp3,"""rgb(100, 150, 100)""","""rgb(50, 100, 50)""","""rgb(120, 130, 110)""","""rgb(70, 110, 60)""","""rgb(90, 140, 80)"""
000203.mp3,"""rgb(120, 180, 60)""","""rgb(150, 170, 50)""","""rgb(160, 180, 40)""","""rgb(140, 170, 55)""","""rgb(130, 160, 65)"""
000204.mp3,"""rgb(10, 150, 150)""","""rgb(30, 130, 120)""","""rgb(50, 120, 90)""","""rgb(20, 140, 110)""","""rgb(40, 130, 100)"""
000207.mp3,"""rgb(10, 150, 150)""","""rgb(180, 180, 100)""","""rgb(100, 100, 100)""","""rgb(200, 100, 50)""","""rgb(150, 150, 50)"""
000210.mp3,"""rgb(120, 160, 80)""","""rgb(110, 140, 70)""","""rgb(130, 150, 60)""","""rgb(100, 130, 60)""","""rgb(125, 155, 75)"""
000211.mp3,"""rgb(120, 150, 100)""","""rgb(130, 140, 90)""","""rgb(110, 130, 80)""","""rgb(125, 135, 95)""","""rgb(100, 120, 70)"""
000212.mp3,"""rgb(170, 180, 140)""","""rgb(190, 160, 110)""","""rgb(150, 160, 100)""","""rgb(70, 100, 80)""","""rgb(140, 160, 110)"""
000213.mp3,"""rgb(180, 100, 40)""","""rgb(50, 100, 100)""","""rgb(150, 150, 100)""","""rgb(50, 50, 100)""","""rgb(100, 100, 100)"""
000255.mp3,"""rgb(120, 160, 100)""","""rgb(180, 100, 60)""","""rgb(200, 150, 80)""","""rgb(190, 140, 50)""","""rgb(180, 160, 100)"""
000256.mp3,"""rgb(230, 60, 30)""","""rgb(210, 70, 30)""","""rgb(240, 100, 30)""","""rgb(220, 80, 30)""","""rgb(230, 50, 30)"""
000368.mp3,"""rgb(200, 50, 50)""","""rgb(100, 150, 50)""","""rgb(200, 100, 100)""","""rgb(150, 50, 100)""","""rgb(180, 60, 60)"""
000424.mp3,"""rgb(135, 150, 100)""","""rgb(180, 190, 120)""","""rgb(30, 40, 60)""","""rgb(50, 70, 90)""","""rgb(160, 170, 140)"""
000459.mp3,"""rgb(230, 100, 40)""","""rgb(210, 130, 60)""","""rgb(180, 80, 20)""","""rgb(200, 150, 60)""","""rgb(220, 120, 40)"""
000534.mp3,"""rgb(120, 180, 60)""","""rgb(30, 50, 10)""","""rgb(150, 170, 60)""","""rgb(140, 160, 50)""","""rgb(120, 170, 50)"""
000540.mp3,"""rgb(140, 180, 100)""","""rgb(60, 80, 120)""","""rgb(160, 160, 140)""","""rgb(120, 100, 80)""","""rgb(180, 160, 140)"""
000546.mp3,"""rgb(120, 140, 100)""","""rgb(180, 160, 120)""","""rgb(80, 60, 40)""","""rgb(140, 100, 60)""","""rgb(160, 140, 120)"""
000574.mp3,"""rgb(255, 100, 0)""","""rgb(0, 100, 0)""","""rgb(255, 100, 0)""","""rgb(255, 0, 0)""","""rgb(255, 100, 0)"""
000602.mp3,"""rgb(100, 180, 100)""","""rgb(120, 170, 90)""","""rgb(110, 175, 95)""","""rgb(105, 178, 92)""","""rgb(80, 160, 85)"""
000615.mp3,"""rgb(100, 150, 50)""","""rgb(180, 190, 120)""","""rgb(140, 160, 80)""","""rgb(50, 100, 150)""","""rgb(120, 160, 100)"""
000620.mp3,"""rgb(135, 190, 100)""","""rgb(60, 50, 80)""","""rgb(170, 80, 120)""","""rgb(30, 10, 40)""","""rgb(150, 180, 100)"""
000621.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 90)""","""rgb(200, 100, 50)""","""rgb(80, 180, 120)""","""rgb(140, 160, 110)"""
000625.mp3,"""rgb(170, 100, 50)""","""rgb(30, 30, 30)""","""rgb(100, 100, 100)""","""rgb(50, 50, 50)""","""rgb(150, 100, 50)"""
000666.mp3,"""rgb(190, 50, 50)""","""rgb(140, 120, 60)""","""rgb(200, 80, 60)""","""rgb(180, 100, 50)""","""rgb(220, 130, 50)"""
000667.mp3,"""rgb(255, 50, 0)""","""rgb(255, 100, 0)""","""rgb(255, 150, 0)""","""rgb(255, 180, 0)""","""rgb(255, 200, 0)"""
000676.mp3,"""rgb(140, 170, 100)""","""rgb(30, 20, 50)""","""rgb(200, 100, 50)""","""rgb(170, 140, 80)""","""rgb(220, 150, 60)"""
000690.mp3,"""rgb(230, 50, 30)""","""rgb(100, 30, 50)""","""rgb(200, 50, 30)""","""rgb(230, 50, 30)""","""rgb(230, 50, 30)"""
000694.mp3,"""rgb(255, 100, 30)""","""rgb(255, 150, 50)""","""rgb(255, 180, 50)""","""rgb(255, 190, 60)""","""rgb(30, 30, 30)"""
000695.mp3,"""rgb(255, 30, 30)""","""rgb(128, 128, 64)""","""rgb(255, 165, 0)""","""rgb(255, 0, 0)""","""rgb(128, 0, 128)"""
000704.mp3,"""rgb(170, 200, 100)""","""rgb(200, 180, 120)""","""rgb(210, 150, 80)""","""rgb(220, 160, 60)""","""rgb(230, 140, 40)"""
000705.mp3,"""rgb(255, 100, 50)""","""rgb(255, 150, 50)""","""rgb(255, 170, 50)""","""rgb(255, 180, 50)""","""rgb(255, 190, 50)"""
