Nome Immagine,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
aleksey-savrasov_courtyard-spring-1853.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(130, 170, 40)","rgb(140, 165, 45)","rgb(125, 175, 55)"
alfred-sisley_village-on-the-banks-of-the-seine-1872.jpg,"rgb(120, 180, 100)","rgb(150, 190, 110)","rgb(130, 170, 90)","rgb(140, 185, 105)","rgb(160, 195, 120)"
chaldin-alex_lilies.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
currier-and-ives_catching-a-trout-1854.jpg,"rgb(120, 180, 60)","rgb(150, 160, 50)","rgb(130, 170, 40)","rgb(140, 165, 45)","rgb(125, 175, 55)"
edvard-munch_girl-yawning-1913.jpg,"rgb(180, 100, 50)","rgb(200, 150, 70)","rgb(160, 120, 60)","rgb(190, 110, 55)","rgb(175, 130, 65)"
edward-robert-hughes_day.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
gerard-van-honthorst_diana-with-her-nymphs-1650.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
giorgio-vasari_assumption-of-the-virgin-detail-1.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
hans-andersen-brendekilde_en-skovtur-ved-odense-a-1897.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
helene-de-beauvoir_untitled-9.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
hermann-hendrich_witches-dance.jpg,"rgb(180, 100, 50)","rgb(200, 150, 70)","rgb(160, 120, 60)","rgb(190, 130, 55)","rgb(175, 110, 45)"
hiroshige_2-kasumigaseki-1857.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 70)","rgb(120, 130, 80)","rgb(160, 140, 90)"
hiroshige_prune-orchard-sun.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 45)","rgb(110, 155, 55)","rgb(105, 152, 48)"
ivan-albright_noname-6.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
jan-matejko_sigismund-i-the-old.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 160, 80)","rgb(120, 130, 90)","rgb(160, 140, 70)"
jan-matejko_song.jpg,"rgb(100, 150, 50)","rgb(180, 120, 80)","rgb(140, 160, 110)","rgb(120, 130, 90)","rgb(160, 140, 70)"
jan-matejko_stanislaw-august.jpg,"rgb(100, 150, 50)","rgb(180, 120, 30)","rgb(140, 160, 70)","rgb(120, 130, 40)","rgb(160, 140, 60)"
jan-steen_esther-ahasuerus-and-haman-1668.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
john-flaxman_illustration-to-the-iliad-1795-25.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
john-singer-sargent_venice-the-prison.jpg,"rgb(180, 100, 50)","rgb(200, 150, 70)","rgb(160, 120, 60)","rgb(190, 130, 55)","rgb(175, 110, 45)"
john-singer-sargent_villa-de-marlia-a-fountain-1910.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
john-singer-sargent_villa-torlonia-fountain-1907-1.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(80, 140, 40)","rgb(110, 155, 55)","rgb(90, 145, 45)"
john-singer-sargent_villa-torlonia-fountain-1907-2.jpg,"rgb(100, 150, 50)","rgb(120, 160, 60)","rgb(90, 140, 40)","rgb(110, 150, 50)","rgb(130, 160, 60)"
juan-gris_the-open-book-1925.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
juan-gris_the-table-in-front-of-the-picture-1926.jpg,"rgb(100, 150, 50)","rgb(180, 120, 60)","rgb(140, 130, 70)","rgb(160, 110, 80)","rgb(120, 140, 90)"
