Posizione,Similarità Coseno,Canzone,Immagine Abbinata
1,0.9987,000211.mp3,lucian-freud_naked-man-with-his-friend.jpg
2,0.9987,005157.mp3,juan-gris_the-open-book-1925.jpg
3,0.9979,025601.mp3,nikolay-bogdanov-belsky_country-boys-1.jpg
4,0.9975,000203.mp3,luis-feito_n-mero-148-1959.jpg
5,0.9975,005156.mp3,pierre-tal-coat_self-portrait.jpg
6,0.9971,005159.mp3,pierre-auguste-renoir_portrait-of-a-girl-1880.jpg
7,0.9969,000210.mp3,pierre-tal-coat_untitled-1975-1.jpg
8,0.9968,005169.mp3,nikolay-bogdanov-belsky_cowboy-2.jpg
9,0.9964,005170.mp3,william-henry-huddle_portrait-of-madam-candelaria-1891.jpg
10,0.9958,000194.mp3,richard-jack_river-scene-with-jetty.jpg
11,0.9957,005171.mp3,lucian-freud_naked-portrait-1973.jpg
12,0.9951,000705.mp3,helene-de-beauvoir_untitled-9.jpg
13,0.9947,000459.mp3,hermann-hendrich_witches-dance.jpg
14,0.9937,000602.mp3,pierre-jacques-pelletier_le-pont-marie-a-paris.jpg
15,0.9935,000821.mp3,gerard-van-honthorst_diana-with-her-nymphs-1650.jpg
16,0.9935,000182.mp3,pierre-tal-coat_vol-d-oiseaux-i-1959.jpg
17,0.9923,025033.mp3,nicholas-krushenick_greenwood-1979.jpg
18,0.9920,000002.mp3,mark-tobey_the-new-day-1945.jpg
19,0.9909,025066.mp3,nikolay-bogdanov-belsky_country-boy.jpg
20,0.9908,025324.mp3,raden-saleh_a-flood-in-java.jpg
21,0.9887,000704.mp3,manuel-rivera_mutant-mirror-no-5-1971.jpg
22,0.9886,025215.mp3,hiroshige_2-kasumigaseki-1857.jpg
23,0.9885,000892.mp3,pablo-picasso_the-girls-of-avignon-study-1907.jpg
24,0.9884,005940.mp3,rachel-ruysch_posy-of-flowers-with-a-red-admiral-butterfly-on-a-marble-ledge-1695.jpg
25,0.9860,000666.mp3,pierre-tal-coat_untitled.jpg
26,0.9849,000718.mp3,m-c-escher_bookplate-b-g-escher-beer.jpg
27,0.9847,005264.mp3,marcel-duchamp_landscape-at-blainville-1902.jpg
28,0.9846,000255.mp3,edvard-munch_girl-yawning-1913.jpg
29,0.9821,000005.mp3,maynard-dixon_the-warriors-1911.jpg
30,0.9821,005376.mp3,pablo-picasso_the-fool-1904.jpg
31,0.9802,000256.mp3,marc-chagall_abraham-and-three-angels-1.jpg
32,0.9785,000667.mp3,nicholas-krushenick_untitled-1963.jpg
33,0.9785,005268.mp3,sebastiano-conca_the-education-of-achilles.jpg
34,0.9777,000706.mp3,le-corbusier_divinit-baroque-1943-1.jpg
35,0.9771,000212.mp3,kay-nielsen_the-unicorn-valiant-little-tailor.jpg
36,0.9769,025032.mp3,jan-steen_esther-ahasuerus-and-haman-1668.jpg
37,0.9762,025233.mp3,hans-andersen-brendekilde_en-skovtur-ved-odense-a-1897.jpg
38,0.9761,000621.mp3,john-singer-sargent_venice-the-prison.jpg
39,0.9758,000200.mp3,alfred-sisley_village-on-the-banks-of-the-seine-1872.jpg
40,0.9740,000709.mp3,john-flaxman_illustration-to-the-iliad-1795-25.jpg
41,0.9737,000777.mp3,theophile-steinlen_trois-permissionaires-barbus-1916.jpg
42,0.9714,025234.mp3,jan-matejko_sigismund-i-the-old.jpg
43,0.9714,000997.mp3,marc-chagall_abdullah-discovered-before-him-1948.jpg
44,0.9695,005381.mp3,ivan-albright_noname-6.jpg
45,0.9687,000716.mp3,stanley-spencer_the-resurrection-cookham-1927.jpg
46,0.9683,025029.mp3,john-singer-sargent_villa-torlonia-fountain-1907-2.jpg
