Canzone Origine,"Migliore 1 (Canzone, Similarità)","Migliore 2 (Canzone, Similarità)","Migliore 3 (Canzone, Similarità)","Peggiore 1 (Canzone, Similarità)","Peggiore 2 (Canzone, Similarità)","Peggiore 3 (Canzone, Similarità)"
000002.mp3,000705.mp3 (0.988),025033.mp3 (0.986),000459.mp3 (0.978),025055.mp3 (0.329),025031.mp3 (0.447),000140.mp3 (0.550)
000005.mp3,000459.mp3 (0.979),000002.mp3 (0.966),005191.mp3 (0.964),025055.mp3 (0.282),025031.mp3 (0.319),000140.mp3 (0.499)
000010.mp3,000993.mp3 (0.966),000690.mp3 (0.954),000666.mp3 (0.951),025055.mp3 (0.360),025030.mp3 (0.436),025031.mp3 (0.443)
000140.mp3,000204.mp3 (0.978),005936.mp3 (0.944),000197.mp3 (0.898),000825.mp3 (0.102),005006.mp3 (0.262),000574.mp3 (0.270)
000141.mp3,000540.mp3 (0.981),000620.mp3 (0.958),000200.mp3 (0.956),025055.mp3 (0.578),025030.mp3 (0.584),000825.mp3 (0.591)
000148.mp3,025104.mp3 (0.946),000995.mp3 (0.891),000368.mp3 (0.891),025055.mp3 (0.374),000140.mp3 (0.429),000714.mp3 (0.450)
000182.mp3,000667.mp3 (0.987),000705.mp3 (0.979),000997.mp3 (0.978),025055.mp3 (0.172),025031.mp3 (0.276),000140.mp3 (0.361)
000190.mp3,025232.mp3 (0.954),025029.mp3 (0.932),025028.mp3 (0.926),025031.mp3 (0.529),000825.mp3 (0.561),025055.mp3 (0.564)
000193.mp3,000666.mp3 (0.968),005879.mp3 (0.965),025033.mp3 (0.958),025031.mp3 (0.430),025055.mp3 (0.434),000140.mp3 (0.521)
000194.mp3,005171.mp3 (0.998),005159.mp3 (0.997),005170.mp3 (0.997),000825.mp3 (0.597),025055.mp3 (0.626),025030.mp3 (0.655)
000197.mp3,025055.mp3 (0.918),000140.mp3 (0.898),005936.mp3 (0.878),000825.mp3 (0.300),000574.mp3 (0.340),000182.mp3 (0.398)
000200.mp3,000194.mp3 (0.975),000210.mp3 (0.974),005159.mp3 (0.973),000825.mp3 (0.532),025055.mp3 (0.588),025030.mp3 (0.595)
000203.mp3,025601.mp3 (0.995),025066.mp3 (0.991),000210.mp3 (0.988),025055.mp3 (0.412),025031.mp3 (0.513),000197.mp3 (0.643)
000204.mp3,000140.mp3 (0.978),005936.mp3 (0.951),000602.mp3 (0.920),000825.mp3 (0.220),005006.mp3 (0.376),000574.mp3 (0.378)
000207.mp3,025029.mp3 (0.940),000546.mp3 (0.938),000194.mp3 (0.936),025055.mp3 (0.538),025031.mp3 (0.546),025030.mp3 (0.589)
000210.mp3,025601.mp3 (0.991),005157.mp3 (0.991),005156.mp3 (0.990),025055.mp3 (0.495),025031.mp3 (0.585),000825.mp3 (0.624)
000211.mp3,005157.mp3 (0.996),005171.mp3 (0.994),005159.mp3 (0.994),025055.mp3 (0.583),025031.mp3 (0.628),000825.mp3 (0.629)
000212.mp3,005171.mp3 (0.979),000194.mp3 (0.977),025233.mp3 (0.976),025055.mp3 (0.550),000825.mp3 (0.638),025031.mp3 (0.648)
000213.mp3,005158.mp3 (0.953),000141.mp3 (0.950),000540.mp3 (0.947),000714.mp3 (0.521),025055.mp3 (0.549),025030.mp3 (0.579)
000255.mp3,000821.mp3 (0.982),000704.mp3 (0.977),000777.mp3 (0.977),025055.mp3 (0.481),025031.mp3 (0.578),025030.mp3 (0.671)
000256.mp3,005006.mp3 (0.990),000853.mp3 (0.990),025324.mp3 (0.985),025055.mp3 (0.259),000140.mp3 (0.345),025031.mp3 (0.404)
000368.mp3,025032.mp3 (0.966),000666.mp3 (0.964),005158.mp3 (0.959),025055.mp3 (0.437),000140.mp3 (0.563),000714.mp3 (0.579)
000424.mp3,000546.mp3 (0.965),025233.mp3 (0.935),000212.mp3 (0.934),025031.mp3 (0.507),025055.mp3 (0.554),000825.mp3 (0.559)
000459.mp3,000705.mp3 (0.988),025033.mp3 (0.986),000005.mp3 (0.979),025055.mp3 (0.346),025031.mp3 (0.395),000140.mp3 (0.502)
000534.mp3,000715.mp3 (0.987),005940.mp3 (0.961),000676.mp3 (0.949),025055.mp3 (0.411),025030.mp3 (0.520),025031.mp3 (0.521)
000540.mp3,000141.mp3 (0.981),000200.mp3 (0.971),005171.mp3 (0.963),025030.mp3 (0.574),000714.mp3 (0.610),025055.mp3 (0.613)
000546.mp3,000424.mp3 (0.965),005171.mp3 (0.957),025066.mp3 (0.957),025031.mp3 (0.521),025055.mp3 (0.547),025030.mp3 (0.666)
000574.mp3,000690.mp3 (0.941),000010.mp3 (0.929),000707.mp3 (0.923),025055.mp3 (0.098),000140.mp3 (0.270),025031.mp3 (0.301)
000602.mp3,005169.mp3 (0.994),005156.mp3 (0.992),005157.mp3 (0.988),000825.mp3 (0.510),025055.mp3 (0.577),000897.mp3 (0.621)
000615.mp3,025233.mp3 (0.975),000212.mp3 (0.963),005156.mp3 (0.963),025055.mp3 (0.530),000825.mp3 (0.566),000574.mp3 (0.617)
000620.mp3,000141.mp3 (0.958),000540.mp3 (0.946),000625.mp3 (0.925),025030.mp3 (0.492),025055.mp3 (0.493),000714.mp3 (0.571)
000621.mp3,005156.mp3 (0.970),000194.mp3 (0.969),005157.mp3 (0.969),025055.mp3 (0.567),000825.mp3 (0.610),025031.mp3 (0.630)
000625.mp3,000540.mp3 (0.941),000993.mp3 (0.940),000213.mp3 (0.934),025030.mp3 (0.432),025055.mp3 (0.458),000714.mp3 (0.506)
000666.mp3,000705.mp3 (0.982),025033.mp3 (0.981),025032.mp3 (0.979),025055.mp3 (0.387),025031.mp3 (0.483),000140.mp3 (0.522)
000667.mp3,000182.mp3 (0.987),000997.mp3 (0.982),025033.mp3 (0.981),025055.mp3 (0.183),025031.mp3 (0.298),000140.mp3 (0.367)
000676.mp3,000534.mp3 (0.949),000715.mp3 (0.944),025234.mp3 (0.939),025055.mp3 (0.460),025030.mp3 (0.513),025031.mp3 (0.543)
000690.mp3,000707.mp3 (0.971),000256.mp3 (0.970),005006.mp3 (0.968),025055.mp3 (0.281),000140.mp3 (0.310),025031.mp3 (0.388)
000694.mp3,000892.mp3 (0.930),000002.mp3 (0.924),000853.mp3 (0.923),025055.mp3 (0.340),025031.mp3 (0.463),000140.mp3 (0.486)
000695.mp3,000707.mp3 (0.950),000853.mp3 (0.920),000256.mp3 (0.916),025055.mp3 (0.275),000140.mp3 (0.357),000204.mp3 (0.436)
000704.mp3,000892.mp3 (0.981),025215.mp3 (0.981),025066.mp3 (0.978),025055.mp3 (0.445),025031.mp3 (0.522),025030.mp3 (0.627)
000705.mp3,025033.mp3 (1.000),000002.mp3 (0.988),000459.mp3 (0.988),025055.mp3 (0.332),025031.mp3 (0.437),000140.mp3 (0.520)
000706.mp3,025032.mp3 (0.979),025216.mp3 (0.972),000709.mp3 (0.962),025055.mp3 (0.419),025031.mp3 (0.539),000714.mp3 (0.600)
000707.mp3,000256.mp3 (0.974),000690.mp3 (0.971),000853.mp3 (0.965),025055.mp3 (0.326),000140.mp3 (0.424),025031.mp3 (0.466)
000708.mp3,000853.mp3 (0.947),000256.mp3 (0.945),000705.mp3 (0.941),025055.mp3 (0.208),000140.mp3 (0.423),025031.mp3 (0.432)
000709.mp3,025216.mp3 (0.977),025033.mp3 (0.971),000705.mp3 (0.969),025055.mp3 (0.401),025031.mp3 (0.498),000197.mp3 (0.599)
000714.mp3,025028.mp3 (0.815),000207.mp3 (0.814),000190.mp3 (0.810),025031.mp3 (0.225),025055.mp3 (0.280),025030.mp3 (0.449)
000715.mp3,000534.mp3 (0.987),005940.mp3 (0.958),000718.mp3 (0.958),025055.mp3 (0.462),025030.mp3 (0.543),025031.mp3 (0.552)
000716.mp3,025234.mp3 (0.949),025215.mp3 (0.945),025066.mp3 (0.920),025031.mp3 (0.260),025055.mp3 (0.375),025030.mp3 (0.541)
000718.mp3,000821.mp3 (0.990),000203.mp3 (0.974),000255.mp3 (0.974),025055.mp3 (0.477),025031.mp3 (0.571),025030.mp3 (0.616)
000777.mp3,000255.mp3 (0.977),000821.mp3 (0.973),000718.mp3 (0.964),025055.mp3 (0.540),025031.mp3 (0.596),025030.mp3 (0.636)
